date,ppo,a2c,td3,sac,ddpg,ppo_lstm,ppo_mamba,buy_hold
2025-01-14,1309364.5734889903,1416843.4958114894,1119741.7641844717,1366107.341588115,1342141.8806786116,1224224.9764431384,1372589.4338583075,1169070.0810287017
2025-01-15,1292154.7279179876,1416929.6768282664,1120175.6746344531,1338470.852988338,1336430.1705879744,1219202.1461343083,1363681.8985036933,1159895.4427154083
2025-01-16,1314817.0370865802,1447267.0285187534,1137165.1170096362,1379773.3446312577,1364576.1691765364,1245524.9634261515,1392996.9315103614,1178192.5090262908
2025-01-17,1315788.3761514833,1440899.7400452197,1134759.237439629,1393373.132848802,1359861.7853264387,1246557.5275681308,1408672.4874891364,1180567.6264026184
2025-01-20,1323130.774709551,1448561.9370968249,1142576.9623808826,1399949.7146150449,1373606.1934532698,1254826.3129912512,1417932.5781530463,1184864.9671390075
2025-01-21,1323567.072088289,1462690.8789108698,1143504.7891058887,1396026.5771333554,1377017.356768089,1258740.8186789649,1420246.587451371,1188850.1248996276
2025-01-22,1342658.802004793,1478089.860460814,1147836.1555876697,1421054.1773215784,1388473.5588173445,1263113.7044840949,1441343.065230759,1197742.9655234832
2025-02-03,1335668.2945351885,1437355.3260498298,1158385.8048186267,1331214.25683645,1384831.6015343245,1235963.934281458,1325684.3077482306,1161568.1517627258
2025-02-04,1340508.961509979,1427442.7336775097,1160119.431565758,1335633.580404794,1392432.7318672712,1231687.770321955,1319605.4659399115,1153197.7342479248
2025-02-05,1366929.0184960326,1472631.1039396557,1177353.7161498035,1357746.1395078062,1416969.6627220686,1248913.193572153,1373838.1816000068,1175169.7256629486
2025-02-06,1369508.1905158842,1488484.21411002,1170721.6777510608,1374557.5129514097,1411307.2401680525,1250299.9352828162,1406960.1537508094,1183939.2713840026
2025-02-07,1382030.632654724,1501543.988134457,1177547.838811394,1381588.4846005796,1423753.7258400496,1257554.8682662146,1435075.8998502814,1190981.5461127777
2025-02-10,1369851.530393274,1477813.259217278,1160869.870400902,1361701.6710915922,1407290.6386208113,1238126.3986636298,1428654.3908132636,1187841.2022178192
2025-02-11,1380981.3129469394,1503923.712778618,1164321.416532036,1366804.3002820371,1419103.1995338972,1243475.89875709,1443758.4554170691,1195935.8602321167
2025-02-12,1366565.827559898,1471738.8495665323,1155315.3783049549,1362849.918465173,1413672.2921928938,1236483.4841986792,1417924.4935182654,1191577.3863132019
2025-02-13,1373852.724766548,1486348.6716945574,1159274.4086623157,1365757.7899480222,1432505.2739891584,1238208.4686554663,1418627.767205628,1203832.9183547515
2025-02-14,1369608.0457069834,1478407.2992372669,1150351.619180199,1346546.61871672,1422673.919825035,1221931.068006203,1401248.262511643,1202119.67165065
2025-02-17,1396674.3304845863,1507733.365862862,1170685.308709618,1368679.7105937037,1441471.2549233015,1244465.6168731274,1408846.6697248542,1215910.6798388977
2025-02-18,1404704.309473181,1511462.0948098605,1173249.7333235706,1364401.0750231775,1441072.4980186997,1248153.111593949,1433511.3633722388,1218251.909237625
2025-02-19,1378418.5450888118,1495702.207998917,1161705.7762160266,1362205.5571398768,1442936.166384178,1246619.199028527,1428257.8794397437,1214296.7818019409
2025-02-20,1369841.997984585,1474052.191798897,1170639.0156912769,1352789.3196330103,1428476.4029335554,1250839.3438800017,1417012.2207597815,1210946.080849411
2025-02-21,1391997.655894413,1484345.1921396183,1177786.704564568,1370635.534896377,1447043.422632652,1255601.9597253688,1421395.4215578162,1222762.8138797302
2025-02-24,1379421.1775790197,1489985.0692282566,1173160.473775383,1356876.0264849695,1453696.7526344832,1246818.0148290829,1411772.3455080115,1217124.7789065856
2025-02-25,1363668.5621031665,1471762.4723028757,1161396.9297842945,1337889.611205581,1443973.4888786848,1231485.9046775326,1372457.9498666846,1205217.0262305755
2025-02-26,1377575.122707958,1511603.9314596446,1172510.6636023486,1349638.8242678675,1456207.856920677,1242731.4676411708,1455787.128489884,1218264.3002593536
2025-02-27,1349734.3566259954,1482926.5871406444,1145404.4652304614,1333621.9205470118,1424298.3391441875,1215454.6271050533,1443507.1271776282,1200477.7849948425
2025-03-03,1326216.8514386786,1455324.133134352,1140320.4180655445,1311533.3447566065,1397719.084818321,1210847.568734463,1427452.171309861,1190682.4318397064
2025-03-04,1333883.7942966805,1462567.414226042,1142331.4903311697,1289011.8781045084,1406064.670710045,1205105.2151520809,1391848.6560930335,1183254.6111667175
2025-03-05,1346882.4856786916,1467811.763290648,1154890.9644064868,1308232.7379639752,1414362.5385536726,1221645.931058224,1400149.7229913794,1192310.4006011505
2025-03-06,1345917.4521052702,1464456.595655245,1155558.7169318164,1302615.2577412731,1410834.5290245588,1216059.7444260677,1393698.5302824103,1190606.327189209
2025-03-07,1315205.934126726,1425113.6122482284,1134262.7298750842,1290668.706900895,1387399.4387230452,1203662.8213837703,1358182.1616663062,1174605.9187610168
2025-03-10,1297932.8427865962,1388801.5554678482,1120988.2240843738,1290902.3635399945,1360117.0331902085,1194334.6763661464,1345256.2825197305,1171896.1231086273
2025-03-11,1283429.1817714977,1369351.3032395118,1112257.9732527698,1265647.889918626,1353386.2010674055,1174934.1361077388,1327478.2886194312,1157376.6526057739
2025-03-12,1259767.7194520645,1388944.5404460928,1101970.7055678333,1293842.4345658429,1349957.5392021711,1187782.163020428,1346606.234904679,1164322.6754939575
2025-03-13,1261288.9014958264,1384434.1958473476,1067301.174161431,1277229.8287346966,1336812.2073769148,1143070.3334630092,1346534.034398469,1152791.5735194702
2025-03-14,1258385.7005461748,1386764.1073061489,1066585.3450598682,1267992.453692735,1337188.5771126326,1141385.0277550777,1346153.598323258,1155131.1337573547
2025-03-17,1283760.1107324427,1405098.391662743,1071930.9253516162,1289582.4810555584,1357761.1666283186,1143846.873032864,1357292.7737611854,1163564.0875937957
2025-03-18,1317740.0328714105,1443062.1229351962,1096041.4878020252,1301619.064860643,1398522.6452202376,1158369.2180588802,1390059.2377618873,1178940.3247363586
2025-03-19,1293272.65013072,1414902.768659222,1088257.8019881214,1275579.599519075,1380336.6049980696,1149583.4422162136,1350643.3078283393,1160985.854550125
2025-03-20,1304086.7411849268,1424685.970682465,1101153.3257422412,1300483.4336503155,1398558.7457909165,1171980.4442780574,1358722.8260416114,1173550.1679713745
2025-03-21,1307527.012242153,1431855.6552824406,1098244.5734953843,1292081.3323186047,1397832.6657433088,1158845.1931241115,1371826.32552472,1170044.9688193817
2025-03-24,1286892.4207323568,1429232.3965033,1080492.9100356067,1283790.8301957257,1383966.2802757795,1149059.4438889583,1381016.174193772,1163649.0885112304
2025-03-25,1301263.326671892,1456635.4096972202,1095111.392037865,1293803.2497399456,1401906.9596199568,1166022.310160931,1395861.0753854834,1168178.6666934509
2025-03-26,1307473.0632792527,1450560.6074140018,1101301.8068327869,1296601.9638264782,1408237.3780693586,1166737.3521702846,1391646.368007096,1172629.3220698852
2025-03-27,1288757.2690569265,1422227.8352247088,1087038.3121199573,1274904.5554440625,1384325.609087425,1148348.884183224,1361559.1107229316,1159058.0768859405
2025-03-28,1269202.9582859534,1395278.7732450564,1065364.0122542346,1249853.4522011883,1367704.1468758162,1126689.6515877803,1338510.3417543494,1138915.563162567
2025-03-31,1210107.4458989752,1322021.9350352555,1030066.8615126574,1196132.01433307,1299890.4407066875,1088207.0094960292,1261859.8217710578,1096235.4962985534
2025-04-01,1238423.3333722514,1359532.1477980884,1058857.3994650806,1235909.7977688916,1337444.3516869124,1129775.2806161006,1274536.2861379706,1120040.088989975
2025-04-02,1230970.873165779,1340175.3160821155,1056229.3789420093,1233832.4807122357,1329366.7009377058,1126728.069653805,1254156.3808111274,1120681.6223075408
2025-04-07,1109348.3973956793,1208405.8703354571,953992.05433416,1114389.8026621945,1198267.240427452,1015425.669848736,1129429.812918099,1015279.5803134461
2025-04-08,1040578.4455428008,1156638.373108742,875575.9053740465,1061497.9535182123,1132939.0086311873,947235.0112908444,1070637.817091378,978268.2643420716
2025-04-09,958069.9904404582,1069832.4966934894,806519.7548918688,1001055.9177554258,1059122.287439781,884079.1496975978,983096.452076348,915197.3221423646
2025-04-10,1052773.7029542292,1174322.123688576,882721.3517508471,1094068.688278497,1162259.1656136091,969903.0008347592,1079422.9654449546,994753.8157756348
2025-04-11,1100266.4414987124,1244613.423638222,914351.9547095264,1146543.6327088482,1232813.8749870833,1004922.3165829738,1163310.4913896644,1025961.9548614045
2025-04-14,1126871.5438995897,1270863.324126961,945876.346055504,1136517.4966519482,1250374.3948692854,1022397.1984437068,1194868.3730653846,1038053.4157874604
2025-04-15,1154435.7436445465,1292074.6067254564,963758.082711693,1148386.1744235165,1257294.2696251448,1033300.3443615992,1239317.866552743,1056422.4678180236
2025-04-16,1125266.1828238675,1255042.1973950884,954743.7465186084,1122824.089533151,1237567.0912346418,1024797.8386662564,1189992.6469635093,1038441.6680915375
2025-04-17,1112928.1008898448,1241291.1080052874,952276.5566687548,1112628.2901528485,1226706.1990227278,1021663.4807427486,1187404.6193136298,1028699.4962832947
2025-04-18,1117529.489755527,1255519.4038999102,949815.1961226428,1118211.2457631235,1236169.083330589,1020206.4224217494,1198025.7373022162,1030532.1918361207
2025-04-21,1094482.5947131498,1237526.6018235704,933183.8134016956,1101944.092747987,1221283.6239037092,1007548.6467412076,1186610.340110215,1020154.3543651124
2025-04-22,1062434.8654047584,1199208.7633683702,915904.7547469104,1084403.7623694546,1188110.7621101912,990524.2254078944,1154988.7047084891,1005299.5336043854
2025-04-23,1114352.1390475575,1253330.6705186388,954626.497743126,1144571.1182282574,1248253.7365517195,1038245.100558575,1207106.0094675147,1040892.8326156159
2025-04-24,1108825.0637205257,1236484.4120137712,944383.2976736986,1129863.6148398526,1225466.8231987532,1021985.4414914212,1193204.2162498557,1028996.5264689942
2025-04-25,1164613.9380223292,1298047.8068158648,988031.2883849108,1150709.310554803,1273793.3771233135,1053190.47833186,1274059.605234536,1055510.8323714752
2025-04-28,1160015.5744525832,1284960.1687696,984239.491406914,1171025.3490861063,1267712.7109474714,1059183.8414509853,1267627.3264726722,1061674.1879603881
2025-04-29,1188362.9260686473,1315203.876386406,995992.4514059984,1174979.638826669,1274268.347986656,1062846.27586871,1280593.0296672904,1072476.4407470245
2025-04-30,1185943.2628601969,1307692.9970452806,1003502.2890295946,1171553.7157586224,1263955.3586754375,1071616.1998437007,1269686.94154683,1074287.5533568878
2025-05-02,1207133.1546291788,1329903.5719261172,998275.6351752244,1222786.3492177136,1255654.4674400862,1083315.093535717,1357685.140862855,1095553.0534541626
2025-05-05,1185005.9162849786,1320766.6805911334,973255.9902510608,1218519.6554186947,1243168.0624565657,1059472.7763531765,1363002.872120293,1083177.5932128448
2025-05-06,1199728.2779260234,1327469.034627213,978100.9995856248,1213620.002944291,1247526.4895271834,1053783.063891705,1364384.852799805,1091828.3766448516
2025-05-07,1200399.7713879603,1316510.9842624285,977777.0523276292,1222603.0732033856,1251318.7691750105,1053896.8997281154,1347024.2269357764,1089910.077933075
2025-05-08,1207795.046689802,1351945.1972567297,989176.7654204333,1222286.087474168,1261848.2229713972,1057196.9641858009,1419632.1793130958,1097375.0163562316
2025-05-09,1229300.901030073,1382434.4050271076,1003652.2158942188,1246029.6751244671,1282835.1213631209,1077849.6325206608,1448301.983373078,1111241.8465812225
2025-05-12,1234772.256797327,1381991.6198281844,1015408.6271605456,1250151.8981421597,1280440.2205376204,1090320.647581818,1449134.163566979,1121861.1540000457
2025-05-13,1247815.932466852,1405326.6862316574,1022942.22778463,1254998.8711178906,1301269.028078514,1100443.728239777,1455124.9224351966,1127799.8991458435
2025-05-14,1280281.9469403094,1429896.288030722,1047741.737260338,1285679.0443289883,1317734.3581337507,1132005.945107224,1481783.8500885093,1147721.8163115997
2025-05-15,1287732.2237145165,1437603.4847110657,1049831.764005181,1282028.624869645,1322871.9236473616,1130615.6343734288,1477105.2098573768,1151992.3666064758
2025-05-16,1291559.657210282,1441998.613754986,1052412.2968726123,1284462.305550874,1325308.994013267,1131907.3281257176,1478560.8231653296,1157367.5280311126
2025-05-19,1265493.6059483269,1399536.3599437985,1029832.1171851122,1263019.7466385968,1288982.1482185896,1107103.477844956,1445619.1123975837,1138554.9485557098
2025-05-20,1273688.3062083824,1408761.3949628794,1036857.7804350816,1262444.307966531,1298711.6151527937,1108784.7769001585,1459113.6707481467,1143670.3710162658
2025-05-21,1292459.3320723046,1457663.0596095775,1054547.0821623767,1285497.0426304943,1317568.6800407942,1126402.0323137592,1526028.36458722,1162287.7899310607
2025-05-22,1294351.3330479898,1454803.1382172436,1054423.250329491,1276111.5012648709,1312325.4275764998,1117180.785486174,1514907.0548233115,1157588.717409851
2025-05-23,1279703.5497954185,1443035.461398762,1057886.7977652517,1271076.8069508676,1297714.252207237,1125798.9459480154,1507458.704738053,1154256.210768463
2025-05-26,1274767.612307557,1420510.2667297558,1054945.7859663928,1263944.1287339337,1289463.1945824202,1118636.4818695623,1504748.7966417396,1147680.1267688293
2025-05-27,1256685.885008004,1414458.9657708553,1039409.300252434,1252960.2770875103,1276559.944231468,1105823.9428187488,1497167.7111810767,1137577.5108020324
2025-05-28,1269148.4017836768,1424767.4728296243,1055570.0952467883,1257971.307843507,1290066.9955467756,1116143.308117007,1522000.0944627845,1144591.3829829711
2025-05-29,1272819.1168249596,1429589.1458186992,1066177.713761803,1260161.8094933636,1287316.3941597517,1124394.161618277,1564029.3137659156,1142692.7460219879
2025-06-02,1260647.5732395635,1427251.7759669384,1047806.9508299791,1240846.9009574065,1275719.680696922,1106298.456724333,1567713.849283608,1133711.2905375976
2025-06-03,1277337.1595761727,1457048.525375981,1054213.6347975696,1257073.6177762158,1303108.0620064314,1110309.140557959,1611947.162391099,1149160.080691101
2025-06-04,1293946.4348888558,1461922.8087044032,1071276.3372397388,1293570.6783202298,1310405.6332344587,1142035.7092520297,1619369.567352685,1162554.9215953369
2025-06-05,1294192.927863366,1456689.4650993694,1073952.4658064807,1308375.9675276882,1307212.821375328,1145049.0820420554,1631815.6824478232,1162766.6145389099
