date,1216.TW,1301.TW,1303.TW,2002.TW,2303.TW,2308.TW,2317.TW,2327.TW,2330.TW,2345.TW,2357.TW,2360.TW,2379.TW,2382.TW,2383.TW,2412.TW,2454.TW,2881.TW,2882.TW,2884.TW,2885.TW,2886.TW,2887.TW,2891.TW,3008.TW,3037.TW,3045.TW,3711.TW,5871.TW,6505.TW
2024-07-31,-4,0,-4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,-4
2024-08-01,-10,0,-2,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-3,0,-8,0,0,0,0,0,3,0,0,-2
2024-08-02,-7,0,-3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,-2,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-05,-8,0,-3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-06,-8,0,-3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-07,-8,0,-3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-08,-8,0,-3,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,2,0,0,-4
2024-08-09,-8,0,-3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-12,-8,0,-3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,3,0,0,-4
2024-08-13,-3,0,-4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8,0,0,0,0,0,3,0,0,-3
2024-08-14,-5,0,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,2,0,0,-1
2024-08-15,-5,0,-2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,2,0,0,-1
2024-08-16,-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,1,0,0,-1
2024-08-19,-5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-20,-5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-21,-5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-22,-5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-23,-5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-26,-5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-3
2024-08-27,-5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-3
2024-08-28,-5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-29,-5,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-08-30,-5,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-09-02,-5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,0,2,0,0,-3
2024-09-03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,3,0,0,-3
2024-09-04,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5
2024-09-05,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-06,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5
2024-09-10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-12,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-13,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2024-09-16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2024-09-18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2024-09-19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-3
2024-09-20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-4
2024-09-23,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
